# melanin ensemble sweep
# N=40 parcels_per_species=6 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
45,0,3,C. sphaerospermum,0.1400,468,6,0.000000
45,0,4,B. subtilis,0.0000,378,6,0.000000
45,0,5,A. niger,0.0650,440,6,0.000000
45,0,6,S. oneidensis,0.0000,286,6,0.000000
45,0,7,O. intermedium AM7,0.0000,419,6,0.000000
45,100,1,C. neoformans,0.1000,699,6,1.295398
45,100,2,D. radiodurans,0.0000,697,6,0.179986
45,100,3,C. sphaerospermum,0.1400,699,6,1.771382
45,100,4,B. subtilis,0.0000,691,6,0.150896
45,100,5,A. niger,0.0650,696,6,0.972453
45,100,6,S. oneidensis,0.0000,699,6,0.080289
45,100,7,O. intermedium AM7,0.0000,699,6,0.153119
45,200,1,C. neoformans,0.1000,703,6,1.903267
45,200,2,D. radiodurans,0.0000,703,6,0.401637
45,200,3,C. sphaerospermum,0.1400,699,6,2.619859
45,200,4,B. subtilis,0.0000,691,6,0.348371
45,200,5,A. niger,0.0650,699,6,1.515493
45,200,6,S. oneidensis,0.0000,700,6,0.182734
45,200,7,O. intermedium AM7,0.0000,698,6,0.356163
45,300,1,C. neoformans,0.1000,699,6,2.323855
45,300,2,D. radiodurans,0.0000,706,6,0.624580
45,300,3,C. sphaerospermum,0.1400,698,6,3.177904
45,300,4,B. subtilis,0.0000,692,6,0.595778
45,300,5,A. niger,0.0650,699,6,1.881059
45,300,6,S. oneidensis,0.0000,698,6,0.292046
45,300,7,O. intermedium AM7,0.0000,694,6,0.548965
45,400,1,C. neoformans,0.1000,700,6,2.661031
45,400,2,D. radiodurans,0.0000,703,6,0.805962
45,400,3,C. sphaerospermum,0.1400,699,6,3.607730
45,400,4,B. subtilis,0.0000,694,6,0.799424
45,400,5,A. niger,0.0650,698,6,2.164339
45,400,6,S. oneidensis,0.0000,699,6,0.405432
45,400,7,O. intermedium AM7,0.0000,697,6,0.822611
46,0,1,C. neoformans,0.1000,288,6,0.000000
46,0,2,D. radiodurans,0.0000,556,6,0.000000
46,0,3,C. sphaerospermum,0.1400,286,6,0.000000
46,0,4,B. subtilis,0.0000,466,6,0.000000
46,0,5,A. niger,0.0650,436,6,0.000000
46,0,6,S. oneidensis,0.0000,415,6,0.000000
46,0,7,O. intermedium AM7,0.0000,415,6,0.000000
46,100,1,C. neoformans,0.1000,696,6,1.430361
46,100,2,D. radiodurans,0.0000,694,6,0.235927
46,100,3,C. sphaerospermum,0.1400,697,6,1.700894
46,100,4,B. subtilis,0.0000,693,6,0.153935
46,100,5,A. niger,0.0650,695,6,0.728804
46,100,6,S. oneidensis,0.0000,699,6,0.261453
46,100,7,O. intermedium AM7,0.0000,696,6,0.224375
46,200,1,C. neoformans,0.1000,702,6,2.030961
46,200,2,D. radiodurans,0.0000,695,6,0.552634
46,200,3,C. sphaerospermum,0.1400,695,6,2.347010
46,200,4,B. subtilis,0.0000,694,6,0.392778
46,200,5,A. niger,0.0650,694,6,1.106728
46,200,6,S. oneidensis,0.0000,701,6,0.594936
46,200,7,O. intermedium AM7,0.0000,699,6,0.462493
46,300,1,C. neoformans,0.1000,701,6,2.357614
46,300,2,D. radiodurans,0.0000,699,6,0.944186
46,300,3,C. sphaerospermum,0.1400,696,6,2.769832
46,300,4,B. subtilis,0.0000,696,6,0.588502
46,300,5,A. niger,0.0650,695,6,1.412137
46,300,6,S. oneidensis,0.0000,701,6,0.868117
46,300,7,O. intermedium AM7,0.0000,695,6,0.678149
