# melanin ensemble sweep
# N=20 parcels_per_species=2 n_mcs=400 snapshot_interval=100
# seeds=42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
# observable=mean melanin over OCCUPIED SITES (volume-weighted; biofilms_potts.jl take_snapshot). The mean of per-parcel means is a different quantity and is not computed here.
# alpha_M is a declared input, not a measurement.
seed,mcs,species,species_name,alpha_M,volume,n_cells,mean_melanin
45,0,3,C. sphaerospermum,0.1400,225,2,0.000000
45,0,4,B. subtilis,0.0000,132,2,0.000000
45,0,5,A. niger,0.0650,69,2,0.000000
45,0,6,S. oneidensis,0.0000,75,2,0.000000
45,0,7,O. intermedium AM7,0.0000,56,2,0.000000
45,100,1,C. neoformans,0.1000,236,2,1.868395
45,100,2,D. radiodurans,0.0000,234,2,0.693123
45,100,3,C. sphaerospermum,0.1400,234,2,2.106251
45,100,4,B. subtilis,0.0000,233,2,0.384397
45,100,5,A. niger,0.0650,235,2,1.401121
45,100,6,S. oneidensis,0.0000,232,2,0.427046
45,100,7,O. intermedium AM7,0.0000,234,2,0.391634
45,200,1,C. neoformans,0.1000,236,2,2.907920
45,200,2,D. radiodurans,0.0000,234,2,1.416655
45,200,3,C. sphaerospermum,0.1400,234,2,3.239401
45,200,4,B. subtilis,0.0000,233,2,0.839885
45,200,5,A. niger,0.0650,234,2,2.275771
45,200,6,S. oneidensis,0.0000,234,2,0.889041
45,200,7,O. intermedium AM7,0.0000,235,2,0.893926
45,300,1,C. neoformans,0.1000,236,2,3.683753
45,300,2,D. radiodurans,0.0000,235,2,1.990828
45,300,3,C. sphaerospermum,0.1400,234,2,3.892857
45,300,4,B. subtilis,0.0000,233,2,1.246760
45,300,5,A. niger,0.0650,235,2,2.931752
45,300,6,S. oneidensis,0.0000,233,2,1.282602
45,300,7,O. intermedium AM7,0.0000,234,2,1.357550
45,400,1,C. neoformans,0.1000,235,2,4.289949
45,400,2,D. radiodurans,0.0000,234,2,2.343788
45,400,3,C. sphaerospermum,0.1400,234,2,4.455390
45,400,4,B. subtilis,0.0000,233,2,1.568290
45,400,5,A. niger,0.0650,235,2,3.398324
45,400,6,S. oneidensis,0.0000,233,2,1.583968
45,400,7,O. intermedium AM7,0.0000,233,2,1.749973
46,0,1,C. neoformans,0.1000,66,2,0.000000
46,0,2,D. radiodurans,0.0000,156,2,0.000000
46,0,3,C. sphaerospermum,0.1400,58,2,0.000000
46,0,4,B. subtilis,0.0000,149,2,0.000000
46,0,5,A. niger,0.0650,186,2,0.000000
46,0,6,S. oneidensis,0.0000,113,2,0.000000
46,0,7,O. intermedium AM7,0.0000,35,2,0.000000
46,100,1,C. neoformans,0.1000,236,2,1.810972
46,100,2,D. radiodurans,0.0000,233,2,0.548908
46,100,3,C. sphaerospermum,0.1400,236,2,2.587355
46,100,4,B. subtilis,0.0000,234,2,0.365623
46,100,5,A. niger,0.0650,235,2,1.197427
46,100,6,S. oneidensis,0.0000,235,2,0.342468
46,100,7,O. intermedium AM7,0.0000,236,2,0.761445
46,200,1,C. neoformans,0.1000,235,2,2.789069
46,200,2,D. radiodurans,0.0000,233,2,1.267484
46,200,3,C. sphaerospermum,0.1400,236,2,3.732029
46,200,4,B. subtilis,0.0000,233,2,0.539123
46,200,5,A. niger,0.0650,233,2,1.831357
46,200,6,S. oneidensis,0.0000,234,2,0.750188
46,200,7,O. intermedium AM7,0.0000,234,2,1.581588
46,300,1,C. neoformans,0.1000,234,2,3.313369
46,300,2,D. radiodurans,0.0000,234,2,1.614332
46,300,3,C. sphaerospermum,0.1400,234,2,4.418117
46,300,4,B. subtilis,0.0000,235,2,0.717567
46,300,5,A. niger,0.0650,234,2,2.339515
46,300,6,S. oneidensis,0.0000,234,2,1.044900
46,300,7,O. intermedium AM7,0.0000,234,2,2.296960
46,400,1,C. neoformans,0.1000,234,2,3.774633
46,400,2,D. radiodurans,0.0000,235,2,1.916127
46,400,3,C. sphaerospermum,0.1400,234,2,4.728735
46,400,4,B. subtilis,0.0000,233,2,0.976188
46,400,5,A. niger,0.0650,234,2,2.776836
46,400,6,S. oneidensis,0.0000,234,2,1.194222
46,400,7,O. intermedium AM7,0.0000,234,2,2.526624
47,0,1,C. neoformans,0.1000,66,2,0.000000
47,0,2,D. radiodurans,0.0000,245,2,0.000000
47,0,3,C. sphaerospermum,0.1400,138,2,0.000000
47,0,4,B. subtilis,0.0000,156,2,0.000000
47,0,5,A. niger,0.0650,55,2,0.000000
47,0,6,S. oneidensis,0.0000,178,2,0.000000
47,0,7,O. intermedium AM7,0.0000,121,2,0.000000
47,100,1,C. neoformans,0.1000,233,2,1.232257
47,100,2,D. radiodurans,0.0000,234,2,0.630769
47,100,3,C. sphaerospermum,0.1400,234,2,1.943438
47,100,4,B. subtilis,0.0000,234,2,0.445626
47,100,5,A. niger,0.0650,234,2,1.246707
47,100,6,S. oneidensis,0.0000,234,2,0.277664
47,100,7,O. intermedium AM7,0.0000,235,2,0.636334
47,200,1,C. neoformans,0.1000,234,2,1.942196
47,200,2,D. radiodurans,0.0000,235,2,1.056227
47,200,3,C. sphaerospermum,0.1400,235,2,3.318172
47,200,4,B. subtilis,0.0000,234,2,0.957417
47,200,5,A. niger,0.0650,234,2,1.853959
47,200,6,S. oneidensis,0.0000,234,2,0.679301
47,200,7,O. intermedium AM7,0.0000,235,2,1.251597
47,300,1,C. neoformans,0.1000,233,2,2.549913
47,300,2,D. radiodurans,0.0000,235,2,1.551470
47,300,3,C. sphaerospermum,0.1400,235,2,4.258757
47,300,4,B. subtilis,0.0000,234,2,1.409686
47,300,5,A. niger,0.0650,233,2,2.301515
47,300,6,S. oneidensis,0.0000,233,2,1.013227
47,300,7,O. intermedium AM7,0.0000,233,2,1.683984
47,400,1,C. neoformans,0.1000,234,2,2.986584
47,400,2,D. radiodurans,0.0000,234,2,1.961453
47,400,3,C. sphaerospermum,0.1400,234,2,4.893765
47,400,4,B. subtilis,0.0000,234,2,1.894130
47,400,5,A. niger,0.0650,233,2,2.627754
47,400,6,S. oneidensis,0.0000,233,2,1.281585
47,400,7,O. intermedium AM7,0.0000,234,2,2.047512
48,0,1,C. neoformans,0.1000,145,2,0.000000
48,0,2,D. radiodurans,0.0000,55,2,0.000000
48,0,3,C. sphaerospermum,0.1400,156,2,0.000000
48,0,4,B. subtilis,0.0000,52,2,0.000000
48,0,5,A. niger,0.0650,217,2,0.000000
48,0,6,S. oneidensis,0.0000,120,2,0.000000
48,0,7,O. intermedium AM7,0.0000,47,2,0.000000
48,100,1,C. neoformans,0.1000,234,2,1.608770
48,100,2,D. radiodurans,0.0000,236,2,0.602213
48,100,3,C. sphaerospermum,0.1400,234,2,1.603475
48,100,4,B. subtilis,0.0000,235,2,0.394181
48,100,5,A. niger,0.0650,234,2,1.128982
48,100,6,S. oneidensis,0.0000,232,2,0.498567
48,100,7,O. intermedium AM7,0.0000,234,2,0.669000
48,200,1,C. neoformans,0.1000,234,2,2.439509
48,200,2,D. radiodurans,0.0000,235,2,1.032555
48,200,3,C. sphaerospermum,0.1400,234,2,2.426505
48,200,4,B. subtilis,0.0000,233,2,0.834460
